ds,holiday,country,year
2037-05-18,Victoria Day,Canada,2037
2037-07-01,Canada Day,Canada,2037
2037-08-03,Civic Holiday,Canada,2037
2037-09-07,Labour Day,Canada,2037
2037-10-12,Thanksgiving,Canada,2037
2037-12-25,Christmas Day,Canada,2037
2037-12-28,Boxing Day (Observed),Canada,2037
2038-01-01,New Year's Day,Canada,2038
2038-02-15,Family Day,Canada,2038
2038-04-23,Good Friday,Canada,2038
2038-05-24,Victoria Day,Canada,2038
2038-07-01,Canada Day,Canada,2038
2038-08-02,Civic Holiday,Canada,2038
2038-09-06,Labour Day,Canada,2038
2038-10-11,Thanksgiving,Canada,2038
2038-12-24,Christmas Day (Observed),Canada,2038
2038-12-25,Christmas Day,Canada,2038
2038-12-27,Boxing Day (Observed),Canada,2038
2038-12-31,New Year's Day (Observed),Canada,2038
2039-01-01,New Year's Day,Canada,2039
2039-02-21,Family Day,Canada,2039
2039-04-08,Good Friday,Canada,2039
2039-05-23,Victoria Day,Canada,2039
2039-07-01,Canada Day,Canada,2039
2039-08-01,Civic Holiday,Canada,2039
2039-09-05,Labour Day,Canada,2039
2039-10-10,Thanksgiving,Canada,2039
2039-12-25,Christmas Day,Canada,2039
2039-12-26,Christmas Day (Observed),Canada,2039
2039-12-27,Boxing Day (Observed),Canada,2039
2040-01-01,New Year's Day,Canada,2040
2040-01-02,New Year's Day (Observed),Canada,2040
2040-02-20,Family Day,Canada,2040
2040-03-30,Good Friday,Canada,2040
2040-05-21,Victoria Day,Canada,2040
2040-07-01,Canada Day,Canada,2040
2040-07-02,Canada Day (Observed),Canada,2040
2040-08-06,Civic Holiday,Canada,2040
2040-09-03,Labour Day,Canada,2040
2040-10-08,Thanksgiving,Canada,2040
2040-12-25,Christmas Day,Canada,2040
2040-12-26,Boxing Day,Canada,2040
2041-01-01,New Year's Day,Canada,2041
2041-02-18,Family Day,Canada,2041
2041-04-19,Good Friday,Canada,2041
2041-05-20,Victoria Day,Canada,2041
2041-07-01,Canada Day,Canada,2041
2041-08-05,Civic Holiday,Canada,2041
2041-09-02,Labour Day,Canada,2041
2041-10-14,Thanksgiving,Canada,2041
2041-12-25,Christmas Day,Canada,2041
2041-12-26,Boxing Day,Canada,2041
2042-01-01,New Year's Day,Canada,2042
2042-02-17,Family Day,Canada,2042
2042-04-04,Good Friday,Canada,2042
2042-05-19,Victoria Day,Canada,2042
2042-07-01,Canada Day,Canada,2042
2042-08-04,Civic Holiday,Canada,2042
2042-09-01,Labour Day,Canada,2042
2042-10-13,Thanksgiving,Canada,2042
2042-12-25,Christmas Day,Canada,2042
2042-12-26,Boxing Day,Canada,2042
2043-01-01,New Year's Day,Canada,2043
2043-02-16,Family Day,Canada,2043
2043-03-27,Good Friday,Canada,2043
2043-05-18,Victoria Day,Canada,2043
2043-07-01,Canada Day,Canada,2043
2043-08-03,Civic Holiday,Canada,2043
2043-09-07,Labour Day,Canada,2043
2043-10-12,Thanksgiving,Canada,2043
2043-12-25,Christmas Day,Canada,2043
2043-12-28,Boxing Day (Observed),Canada,2043
2044-01-01,New Year's Day,Canada,2044
2044-02-15,Family Day,Canada,2044
2044-04-15,Good Friday,Canada,2044
2044-05-23,Victoria Day,Canada,2044
2044-07-01,Canada Day,Canada,2044
2044-08-01,Civic Holiday,Canada,2044
2044-09-05,Labour Day,Canada,2044
2044-10-10,Thanksgiving,Canada,2044
2044-12-25,Christmas Day,Canada,2044
2044-12-26,Christmas Day (Observed),Canada,2044
2044-12-27,Boxing Day (Observed),Canada,2044
